"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","1,384.34","1,381.82","1,396.64","1,372.01","1.67M","1.10%"
"May 07, 2020","1,369.28","1,362.57","1,375.50","1,353.65","1.54M","1.77%"
"May 06, 2020","1,345.43","1,356.14","1,368.67","1,345.36","1.59M","-0.27%"
"May 05, 2020","1,349.02","1,336.36","1,370.76","1,335.51","1.98M","1.97%"
"May 04, 2020","1,322.90","1,308.13","1,324.04","1,296.10","1.54M","0.42%"
"May 01, 2020","1,317.32","1,323.85","1,351.23","1,309.68","2.44M","-2.18%"
"Apr 30, 2020","1,346.70","1,329.18","1,349.99","1,321.51","2.79M","0.34%"
"Apr 29, 2020","1,342.18","1,343.48","1,359.98","1,327.16","5.42M","8.89%"
"Apr 28, 2020","1,232.59","1,283.20","1,283.63","1,230.38","4.04M","-3.01%"
"Apr 27, 2020","1,270.86","1,291.36","1,291.36","1,265.13","2.21M","-0.45%"
"Apr 24, 2020","1,276.60","1,255.00","1,277.71","1,244.00","1.87M","0.43%"
"Apr 23, 2020","1,271.17","1,266.24","1,287.26","1,261.83","1.71M","1.01%"
"Apr 22, 2020","1,258.41","1,240.96","1,279.88","1,237.20","2.32M","3.82%"
"Apr 21, 2020","1,212.16","1,244.49","1,249.48","1,205.16","2.48M","-3.88%"
"Apr 20, 2020","1,261.15","1,268.94","1,276.09","1,257.47","1.76M","-1.40%"
"Apr 17, 2020","1,279.00","1,280.27","1,289.48","1,266.00","2.55M","1.72%"
"Apr 16, 2020","1,257.43","1,268.61","1,272.71","1,238.24","2.89M","0.01%"
"Apr 15, 2020","1,257.30","1,243.19","1,275.00","1,234.88","2.11M","-0.63%"
"Apr 14, 2020","1,265.23","1,239.99","1,275.15","1,230.00","3.17M","4.53%"
"Apr 13, 2020","1,210.41","1,200.00","1,214.30","1,183.60","1.94M","0.32%"
