"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","2,379.61","2,372.14","2,387.24","2,357.00","3.21M","0.51%"
"May 07, 2020","2,367.61","2,372.81","2,375.51","2,344.92","3.40M","0.70%"
"May 06, 2020","2,351.26","2,328.72","2,357.00","2,321.87","3.12M","1.44%"
"May 05, 2020","2,317.80","2,342.93","2,351.00","2,308.77","3.24M","0.08%"
"May 04, 2020","2,315.99","2,258.09","2,325.00","2,258.09","4.87M","1.31%"
"May 01, 2020","2,286.04","2,331.20","2,360.12","2,259.62","9.77M","-7.60%"
"Apr 30, 2020","2,474.00","2,420.00","2,474.00","2,397.44","9.53M","4.27%"
"Apr 29, 2020","2,372.71","2,327.19","2,390.72","2,310.00","4.59M","2.53%"
"Apr 28, 2020","2,314.08","2,372.10","2,372.99","2,306.69","5.27M","-2.61%"
"Apr 27, 2020","2,376.00","2,444.11","2,444.11","2,364.45","5.65M","-1.42%"
"Apr 24, 2020","2,410.22","2,417.00","2,420.43","2,382.00","3.83M","0.45%"
"Apr 23, 2020","2,399.45","2,399.38","2,424.11","2,383.61","5.07M","1.52%"
"Apr 22, 2020","2,363.49","2,372.39","2,393.49","2,351.19","4.22M","1.52%"
"Apr 21, 2020","2,328.12","2,415.00","2,427.69","2,280.38","7.48M","-2.74%"
"Apr 20, 2020","2,393.61","2,389.95","2,444.98","2,387.56","5.77M","0.78%"
"Apr 17, 2020","2,375.00","2,373.70","2,400.00","2,316.02","7.93M","-1.38%"
"Apr 16, 2020","2,408.19","2,346.57","2,460.01","2,335.24","12.04M","4.36%"
"Apr 15, 2020","2,307.68","2,256.44","2,333.17","2,246.29","6.87M","1.07%"
"Apr 14, 2020","2,283.32","2,202.72","2,291.98","2,188.10","8.09M","5.28%"
"Apr 13, 2020","2,168.87","2,041.00","2,180.00","2,038.56","6.72M","6.17%"
